gene module_id
Or6k6 MH_24
Or10z1 grey
Grem2 MH_01
Rgs7 MH_10
Fh MH_04
Opn3 MH_24
Chml MH_28
Pld5 MH_21
Cep170 MH_27
Akt3 MH_02
Adss MH_09
Hnrnpu MH_02
Smyd3 MH_28
Tfb2m MH_30
Ahctf1 MH_27
Adck3 MH_27
C1orf95 MH_24
Ephx1 MH_04
Nvl MH_17
Wdr26 MH_07
Ccdc121 MH_24
Lbr MH_17
Enah grey
Degs1 MH_03
Fbxo28 MH_17
Capn2 MH_02
C1orf65 MH_24
Disp1 MH_04
Brox MH_27
Mia3 MH_27
Hlx MH_20
Mosc2 MH_10
C1orf115 MH_25
Mark1 MH_21
Iars2 MH_01
Lyplal1 MH_21
Tgfb2 MH_21
Rrp15 MH_02
Spata17 MH_24
Kctd3 MH_27
Kcnk2 MH_24
Cenpf MH_01
Smyd2 MH_02
Prox1 MH_20
Rps6kc1 MH_04
Vash2 grey
Flvcr1 MH_03
Tatdn3 MH_04
Fam71a grey
Atf3 MH_29
Nenf MH_04
Ppp2r5a MH_14
Dtl MH_01
Traf5 MH_06
Rcor3 MH_04
Hhat MH_27
Sertad4 MH_23
Syt14 MH_28
Diexf MH_14
Traf3ip3 MH_14
Hsd11b1 MH_14
Camk1g MH_24
Cd46 MH_17
Cr1l MH_09
Cr2 MH_15
Ppp1r14c MH_28
Iyd MH_23
Plekhg1 MH_20
Mthfd1l MH_02
Akap12 MH_04
C6orf211 MH_04
Esr1 MH_04
Myct1 MH_21
Vip MH_25
Oprm1 MH_21
Lrp11 MH_23
Nup43 MH_02
Lats1 MH_27
Katna1 MH_09
Ppil4 MH_02
Zc3h12d MH_08
Shprh MH_17
Fbxo30 MH_27
Epm2a MH_24
Timm8a MH_04
Sf3b5 MH_03
Plagl1 MH_27
Fuca2 MH_03
Adat2 MH_09
Hivep2 MH_27
Nmbr MH_10
Cited2 MH_04
Txlnb MH_04
Reps1 MH_07
Nhsl1 grey
Perp MH_27
Olig3 MH_14
Ifngr1 MH_27
Il22ra2 MH_24
Map3k5 MH_04
Map7 MH_14
Bclaf1 MH_13
Fam54a MH_01
Ahi1 MH_04
Myb MH_27
Aldh8a1 MH_24
Sgk1 MH_16
Slc2a12 MH_29
C6orf192 MH_24
Vnn1 MH_20
Taar1 MH_12
Taar2 MH_10
Taar3 MH_12
Taar4p MH_27
Taar5 MH_24
Taar8 MH_15
Stx7 MH_04
Ctgf MH_21
Med23 MH_27
Epb41l2 MH_27
Samd3 MH_18
Arhgap18 MH_04
Ptprk MH_22
Themis MH_14
Kiaa0408 MH_27
Hddc2 MH_02
Trdn MH_04
Clvs2 MH_29
Rsph4a MH_12
Bet3l MH_12
Tspyl4 MH_11
Col10a1 grey
Hs3st5 grey
Hdac2 MH_02
Lama4 MH_24
Tube1 MH_01
Fyn MH_04
Traf3ip2 MH_27
Rev3l MH_13
Cdk19 MH_14
Slc22a16 grey
Ddo MH_24
C6orf186 MH_21
Wasf1 MH_18
Zbtb24 MH_02
Mical1 MH_27
Ppil6 MH_24
Cd164 MH_14
Sesn1 MH_14
Snx3 MH_03
Ostm1 MH_03
Sec63 MH_27
Scml4 MH_17
Pdss2 MH_02
Bend3 MH_21
Cd24 MH_04
Rtn4ip1 MH_03
Atg5 MH_04
Prep MH_09
Popdc3 MH_10
Bves MH_14
Hace1 MH_09
Ascc3 MH_17
Sim1 MH_24
Rfx6 MH_23
Vgll2 MH_15
Dcbld1 MH_24
Nepnp MH_14
Nus1 MH_27
Slc35f1 MH_14
Pln MH_22
Asf1a MH_04
Gja1 MH_26
Hsf2 MH_27
Pkib grey
Fabp7 grey
Smpdl3a MH_04
Gcc2 MH_27
Lims1 MH_27
Ranbp2 MH_27
Ccdc138 MH_04
Sh3rf3 MH_24
Ankrd57 MH_07
P4ha1 MH_10
Pla2g12b MH_21
Micu1 MH_04
Dnajb12 MH_09
Ascc1 MH_02
Spock2 MH_04
Psap MH_14
C10orf54 MH_14
C10orf105 MH_17
Pcbd1 MH_04
C10orf27 MH_21
Prf1 MH_12
Nodal MH_01
Lrrc20 MH_19
Npffr1 MH_30
Ppa1 MH_02
Sar1a MH_27
Tysnd1 MH_12
Aifm2 MH_08
Neurog3 grey
Tacr2 grey
Ddx21 MH_09
Slc25a16 MH_04
Dna2 MH_01
Rufy2 MH_26
Pbld MH_23
Atoh7 MH_22
Herc4 MH_04
Dnajc12 MH_27
Ctnna3 MH_23
Jmjd1c MH_27
Egr2 MH_06
Rtkn2 grey
Tmem26 MH_11
Rhobtb1 MH_22
Ank3 MH_21
Ccdc6 MH_27
M1 MH_21
Slc16a9 MH_21
Fam13c MH_12
Ipmk MH_27
Zwint MH_09
Pcdh15 MH_24
Gnaz MH_14
Rab36 MH_14
Bcr MH_27
Specc1l MH_27
Adora2a MH_29
Snrpd3 MH_15
Ggt1 MH_01
Ggt5 MH_14
Derl3 MH_26
Mmp11 MH_01
Chchd10 MH_10
Vpreb3 MH_01
Znf280b MH_07
Slc5a4 MH_12
S100b MH_27
