"gene.name"	"DE"	"in.module"	"Coarse.module"	"Fine.module"
"197"	"1700017j07rik"	FALSE	FALSE	NA	NA
"198"	"1700017n19rik"	FALSE	FALSE	NA	NA
"199"	"1700018a04rik"	FALSE	FALSE	NA	NA
"200"	"1700018b08rik"	FALSE	FALSE	NA	NA
"201"	"1700018b24rik"	FALSE	FALSE	NA	NA
"202"	"1700018c11rik"	FALSE	FALSE	NA	NA
"203"	"1700018f24rik"	FALSE	FALSE	NA	NA
"204"	"1700018l02rik"	FALSE	FALSE	NA	NA
"205"	"1700019a02rik"	FALSE	FALSE	NA	NA
"206"	"1700019b03rik"	FALSE	FALSE	NA	NA
"207"	"1700019b21rik"	FALSE	FALSE	NA	NA
"208"	"1700019d03rik"	FALSE	FALSE	NA	NA
"209"	"1700019e08rik"	FALSE	FALSE	NA	NA
"210"	"1700019g17rik"	FALSE	FALSE	NA	NA
"211"	"1700019g24rik"	FALSE	FALSE	NA	NA
"212"	"1700019l03rik"	FALSE	FALSE	NA	NA
"213"	"1700019m22rik"	FALSE	FALSE	NA	NA
"214"	"1700019n19rik"	FALSE	FALSE	NA	NA
"215"	"1700019o17rik"	FALSE	FALSE	NA	NA
"216"	"1700019p21rik"	FALSE	FALSE	NA	NA
"217"	"1700020a23rik"	FALSE	FALSE	NA	NA
"218"	"1700020d05rik"	FALSE	FALSE	NA	NA
"219"	"1700020g17rik"	FALSE	FALSE	NA	NA
"220"	"1700020i14rik"	FALSE	FALSE	NA	NA
"221"	"1700020l24rik"	FALSE	FALSE	NA	NA
"222"	"1700020m21rik"	FALSE	FALSE	NA	NA
"223"	"1700020n01rik"	FALSE	FALSE	NA	NA
"224"	"1700020n15rik"	FALSE	FALSE	NA	NA
"225"	"1700020n18rik"	FALSE	FALSE	NA	NA
"226"	"1700021a07rik"	FALSE	FALSE	18	93
"227"	"1700021f05rik"	FALSE	FALSE	NA	NA
"228"	"1700021f07rik"	FALSE	FALSE	NA	NA
"229"	"1700021j08rik"	FALSE	FALSE	NA	NA
"230"	"1700021k19rik"	FALSE	FALSE	33	180
"231"	"1700021l23rik"	FALSE	FALSE	NA	NA
"232"	"1700021n21rik"	FALSE	FALSE	NA	NA
"233"	"1700021p04rik"	FALSE	FALSE	NA	NA
"234"	"1700022a21rik"	FALSE	FALSE	NA	NA
"235"	"1700022a22rik"	FALSE	FALSE	NA	NA
"236"	"1700022e09rik"	FALSE	FALSE	NA	NA
"237"	"1700022h16rik"	FALSE	FALSE	NA	NA
"238"	"1700022i11rik"	FALSE	FALSE	NA	NA
"239"	"1700022n22rik"	FALSE	FALSE	NA	NA
"240"	"1700023c21rik"	FALSE	FALSE	NA	NA
"241"	"1700023e05rik"	FALSE	FALSE	NA	NA
"242"	"1700023f02rik"	TRUE	FALSE	NA	NA
"243"	"1700023f06rik"	FALSE	FALSE	NA	NA
"244"	"1700023h06rik"	FALSE	FALSE	NA	NA
"245"	"1700023l04rik"	FALSE	FALSE	NA	NA
"246"	"1700024b05rik"	FALSE	FALSE	NA	NA
"247"	"1700024b18rik"	FALSE	FALSE	NA	NA
"248"	"1700024g13rik"	FALSE	FALSE	NA	NA
"249"	"1700024p04rik"	FALSE	FALSE	NA	NA
"250"	"1700024p16rik"	FALSE	FALSE	NA	NA
"251"	"1700025b11rik"	FALSE	FALSE	NA	NA
"252"	"1700025c18rik"	FALSE	FALSE	NA	NA
"253"	"1700025d23rik"	FALSE	FALSE	NA	NA
"254"	"1700025f22rik"	FALSE	FALSE	NA	NA
"255"	"1700025f24rik"	FALSE	FALSE	NA	NA
"256"	"1700025g04rik"	FALSE	FALSE	53	281
"257"	"1700025h01rik"	FALSE	FALSE	NA	NA
"258"	"1700025k24rik"	FALSE	FALSE	NA	NA
"259"	"1700025m24rik"	FALSE	FALSE	NA	NA
"260"	"1700025n21rik"	FALSE	FALSE	NA	NA
"261"	"1700025n23rik"	FALSE	FALSE	NA	NA
"262"	"1700025o08rik"	FALSE	FALSE	NA	NA
"263"	"1700026d08rik"	FALSE	FALSE	NA	NA
"264"	"1700026d11rik"	FALSE	FALSE	NA	NA
"265"	"1700026f02rik"	FALSE	FALSE	NA	NA
"266"	"1700026j12rik"	FALSE	FALSE	NA	NA
"267"	"1700026j14rik"	FALSE	FALSE	NA	NA
"268"	"1700026l06rik"	FALSE	FALSE	NA	NA
"269"	"1700027a07rik"	TRUE	FALSE	NA	NA
"270"	"1700027a15rik"	FALSE	FALSE	NA	NA
"271"	"1700027f09rik"	FALSE	FALSE	NA	NA
"272"	"1700027h10rik"	FALSE	FALSE	NA	NA
"273"	"1700027i24rik"	FALSE	FALSE	NA	NA
"274"	"1700028b04rik"	FALSE	FALSE	NA	NA
"275"	"1700028d13rik"	FALSE	FALSE	NA	NA
"276"	"1700028e10rik"	TRUE	FALSE	NA	NA
"277"	"1700028i16rik"	FALSE	FALSE	NA	NA
"278"	"1700028j19rik"	FALSE	FALSE	NA	NA
"279"	"1700028k03rik"	FALSE	FALSE	NA	NA
"280"	"1700028m03rik"	FALSE	FALSE	NA	NA
"281"	"1700028n14rik"	FALSE	FALSE	NA	NA
"282"	"1700028p14rik"	FALSE	FALSE	NA	NA
"283"	"1700028p15rik"	FALSE	FALSE	NA	NA
"284"	"1700029b22rik"	FALSE	FALSE	NA	NA
"285"	"1700029e06rik"	FALSE	FALSE	NA	NA
"286"	"1700029f12rik"	FALSE	FALSE	NA	NA
"287"	"1700029h14rik"	FALSE	FALSE	NA	NA
"288"	"1700029i15rik"	TRUE	FALSE	NA	NA
"289"	"1700029j03rik"	FALSE	FALSE	NA	NA
"290"	"1700029j07rik"	FALSE	FALSE	NA	NA
"291"	"1700029m03rik"	FALSE	FALSE	NA	NA
"292"	"1700029m20rik"	FALSE	FALSE	NA	NA
"293"	"1700029n11rik"	FALSE	FALSE	NA	NA
"294"	"1700029p11rik"	FALSE	FALSE	NA	NA
"295"	"1700030a11rik"	FALSE	FALSE	NA	NA
"296"	"1700030c10rik"	FALSE	FALSE	NA	NA
"297"	"1700030c12rik"	FALSE	FALSE	NA	NA
"298"	"1700030c14rik"	FALSE	FALSE	NA	NA
"299"	"1700030f04rik"	FALSE	FALSE	NA	NA
"300"	"1700030j22rik"	FALSE	FALSE	NA	NA
"301"	"1700030k09rik"	FALSE	FALSE	NA	NA
"302"	"1700030l20rik"	FALSE	FALSE	NA	NA
"303"	"1700030m09rik"	FALSE	FALSE	NA	NA
"304"	"1700030n03rik"	FALSE	FALSE	NA	NA
"305"	"1700030o20rik"	FALSE	FALSE	NA	NA
"306"	"1700031a10rik"	FALSE	FALSE	NA	NA
"307"	"1700031f05rik"	FALSE	FALSE	NA	NA
"308"	"1700031f10rik"	FALSE	FALSE	NA	NA
"309"	"1700031l13rik"	FALSE	FALSE	NA	NA
"310"	"1700031m16rik"	FALSE	FALSE	NA	NA
"311"	"1700031p21rik"	FALSE	FALSE	NA	NA
"312"	"1700034e13rik"	FALSE	FALSE	NA	NA
"313"	"1700034g24rik"	FALSE	FALSE	NA	NA
"314"	"1700034h15rik"	FALSE	FALSE	NA	NA
"315"	"1700034i23rik"	FALSE	FALSE	NA	NA
"316"	"1700034j05rik"	FALSE	FALSE	NA	NA
"317"	"1700034k08rik"	FALSE	FALSE	NA	NA
"318"	"1700034o15rik"	FALSE	FALSE	NA	NA
"319"	"1700034p13rik"	FALSE	FALSE	NA	NA
"320"	"1700036a12rik"	FALSE	FALSE	NA	NA
"321"	"1700036g14rik"	FALSE	FALSE	NA	NA
"322"	"1700036o09rik"	FALSE	FALSE	NA	NA
"323"	"1700037c06rik"	FALSE	FALSE	NA	NA
